12:44:57.355 [main] INFO  Datacenter - 0.00: DatacenterSimple1 is starting...
12:44:57.355 [main] INFO  DatacenterBroker - DatacenterBrokerSimple2 is starting...
12:44:57.355 [main] INFO  CloudSim - Entities started.
12:44:57.355 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: List of 1 datacenters(s) received.
12:44:57.355 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 0 in DatacenterSimple1
12:44:57.355 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 1 in DatacenterSimple1
12:44:57.355 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 2 in DatacenterSimple1
12:44:57.355 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 3 in DatacenterSimple1
12:44:57.355 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 4 in DatacenterSimple1
12:44:57.356 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 5 in DatacenterSimple1
12:44:57.356 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 6 in DatacenterSimple1
12:44:57.356 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 7 in DatacenterSimple1
12:44:57.356 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyRoundRobin: Vm 0 has been allocated to Host 0/DC 1
12:44:57.356 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyRoundRobin: Vm 1 has been allocated to Host 1/DC 1
12:44:57.356 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyRoundRobin: Vm 2 has been allocated to Host 2/DC 1
12:44:57.356 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyRoundRobin: Vm 3 has been allocated to Host 3/DC 1
12:44:57.356 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyRoundRobin: Vm 4 has been allocated to Host 0/DC 1
12:44:57.356 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyRoundRobin: Vm 5 has been allocated to Host 1/DC 1
12:44:57.357 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyRoundRobin: Vm 6 has been allocated to Host 2/DC 1
